Image Base,Completed Jobs,Avg Len (s),P90 Len (s),Max Len (s),Avg CPU (m),Max CPU (m),Avg RAM (MiB),Max RAM (MiB)
django__django-16527,12,824.0,1071.9,1284.0,58.3,901,202.7,361.0
django__django-15930,8,1509.4,1780.8,1855.0,32.3,759,195.8,361.0
django__django-15252,0,0.0,0.0,0.0,9.3,411,121.4,361.0
django__django-11239,14,780.0,1020.8,1087.0,59.9,1217,206.8,361.0
django__django-16139,12,940.6,1106.8,1146.0,44.1,686,222.0,361.0
django__django-12858,6,1377.3,1523.0,1566.0,32.1,723,210.3,361.0
django__django-15503,10,1496.3,1749.1,1813.0,30.7,702,175.2,360.0
django__django-11532,17,748.9,974.4,1071.0,58.1,723,206.7,360.0
django__django-13344,0,0.0,0.0,0.0,6.2,758,101.7,360.0
django__django-15629,10,1136.2,1317.9,1380.0,39.9,999,196.8,360.0
django__django-12209,16,921.2,1117.5,1172.0,45.3,1008,210.1,360.0
django__django-16256,11,1275.1,1443.0,1521.0,35.3,892,189.7,360.0
django__django-14155,8,874.4,1034.6,1085.0,37.2,596,216.1,360.0
django__django-10999,10,601.9,787.9,868.0,68.2,649,211.6,360.0
matplotlib__matplotlib-24870,0,0.0,0.0,0.0,15.3,677,133.3,360.0
django__django-11490,14,817.1,1001.2,1235.0,54.8,837,204.8,359.0
django__django-14238,9,916.6,1142.2,1231.0,39.5,1782,231.1,359.0
django__django-14373,12,686.2,727.8,1046.0,61.4,760,212.5,358.0
django__django-15380,9,762.8,940.4,1006.0,57.4,706,202.1,358.0
django__django-13512,12,1702.9,1975.4,2185.0,25.9,683,200.0,358.0
django__django-12965,12,1094.7,1216.4,1223.0,38.4,718,197.8,358.0
django__django-13837,17,1482.2,1666.2,1921.0,32.9,908,190.6,358.0
django__django-15037,13,918.1,1115.0,1135.0,43.2,711,199.4,358.0
django__django-12308,7,964.6,1129.8,1167.0,47.4,635,205.0,358.0
django__django-13033,15,1134.5,1332.2,1398.0,29.2,668,200.5,357.0
django__django-13279,14,776.3,1028.1,1051.0,58.8,918,205.6,357.0
django__django-11141,13,771.8,909.0,1153.0,55.0,951,194.9,357.0
django__django-12262,9,1007.3,1206.2,1295.0,49.2,632,191.1,357.0
django__django-11964,0,0.0,0.0,0.0,8.6,708,128.8,356.0
django__django-15499,10,938.3,1122.7,1219.0,50.1,782,216.5,356.0
django__django-11087,8,968.0,1293.1,1305.0,52.4,1355,209.3,356.0
django__django-16429,16,838.1,1071.5,1194.0,50.3,811,209.5,355.0
django__django-13023,15,819.4,965.8,1031.0,43.8,577,219.3,355.0
django__django-14376,8,1089.2,1265.3,1294.0,41.5,699,191.0,355.0
django__django-13363,8,1012.0,1235.5,1330.0,39.7,833,205.8,355.0
django__django-11292,4,1319.2,1444.9,1480.0,32.2,919,215.7,355.0
django__django-16819,0,0.0,0.0,0.0,8.7,614,117.0,355.0
django__django-15375,10,986.6,1110.2,1427.0,43.7,604,208.5,355.0
django__django-12276,11,860.5,1018.0,1071.0,55.2,764,205.8,355.0
django__django-12273,9,1210.1,1391.2,1472.0,32.8,623,191.0,355.0
django__django-11790,4,816.2,1032.4,1093.0,60.7,760,202.4,355.0
django__django-15563,9,1564.6,2055.6,2122.0,30.5,805,180.0,354.0
matplotlib__matplotlib-26291,11,1162.4,1372.0,1418.0,48.3,680,186.3,354.0
django__django-14559,12,743.2,926.2,941.0,58.4,681,208.6,354.0
django__django-16032,14,1198.5,1348.7,1598.0,38.6,686,182.2,354.0
django__django-13513,8,835.2,941.8,953.0,48.4,499,207.0,354.0
django__django-16082,7,901.4,1223.0,1235.0,59.1,1659,196.0,354.0
django__django-16901,8,1035.5,1229.8,1283.0,46.8,861,204.1,354.0
django__django-13933,9,920.4,1080.2,1265.0,48.6,533,213.9,354.0
django__django-13401,9,759.4,903.8,927.0,61.3,463,201.8,354.0
matplotlib__matplotlib-20859,9,1140.8,1340.4,1510.0,45.5,921,199.7,354.0
django__django-16661,9,676.9,857.0,1109.0,61.3,607,215.9,353.0
matplotlib__matplotlib-22719,0,0.0,0.0,0.0,11.7,736,103.6,353.0
django__django-14771,16,854.1,1001.0,1252.0,49.2,570,213.2,353.0
django__django-16333,8,802.6,952.7,1057.0,61.6,674,208.3,353.0
django__django-13670,13,609.2,824.0,842.0,82.4,1043,195.2,353.0
django__django-15741,14,919.1,1168.1,1259.0,46.2,839,207.5,352.0
django__django-16255,13,731.6,899.0,1115.0,61.5,853,214.1,351.0
django__django-16801,10,870.2,1100.2,1129.0,53.6,579,206.3,351.0
django__django-10554,9,1481.6,1890.6,1901.0,32.3,786,180.4,351.0
django__django-11603,9,835.1,955.2,972.0,38.5,781,195.9,351.0
matplotlib__matplotlib-21568,6,1119.3,1287.0,1304.0,42.0,639,188.6,351.0
django__django-10973,11,818.4,971.0,1174.0,56.4,587,210.3,351.0
django__django-16569,15,561.0,710.4,910.0,64.8,666,208.6,350.0
django__django-14315,16,907.7,1103.5,1166.0,48.0,754,199.2,350.0
matplotlib__matplotlib-22871,8,1005.1,1094.0,1164.0,64.4,727,207.5,350.0
django__django-11149,20,936.1,1121.1,1352.0,49.2,1098,206.8,350.0
django__django-13109,9,884.6,1141.0,1253.0,45.8,1217,205.1,350.0
django__django-15561,11,952.3,1122.0,1295.0,49.5,732,216.2,350.0
django__django-16612,9,866.2,1081.0,1197.0,43.9,1458,217.4,349.0
matplotlib__matplotlib-23314,13,1184.9,1459.8,1529.0,49.4,537,179.5,349.0
django__django-13112,12,1097.9,1329.7,1340.0,37.7,622,197.6,349.0
django__django-17087,8,990.6,1142.6,1200.0,43.9,810,219.4,349.0
django__django-14404,9,752.3,959.8,1003.0,55.4,752,200.2,349.0
django__django-13012,10,1130.8,1363.4,1448.0,43.0,755,194.9,349.0
django__django-12419,9,821.0,1014.0,1182.0,45.7,793,214.9,349.0
django__django-14534,12,960.1,1141.8,1243.0,43.3,1116,199.5,348.0
django__django-14672,9,710.3,877.0,1041.0,55.0,561,208.4,348.0
django__django-12741,10,832.3,1111.1,1193.0,43.4,806,210.8,348.0
matplotlib__matplotlib-25332,9,1331.0,1556.4,1602.0,39.8,649,183.3,348.0
django__django-13028,8,1018.1,1157.2,1160.0,45.5,725,204.6,347.0
django__django-14170,13,1050.5,1236.8,1358.0,41.2,705,203.7,346.0
django__django-15731,9,755.7,949.8,1041.0,63.6,1108,198.1,346.0
django__django-15104,12,524.8,659.3,742.0,86.6,724,213.2,346.0
django__django-15161,7,1106.1,1290.6,1401.0,38.9,651,196.4,345.0
django__django-15525,10,996.9,1122.5,1262.0,45.3,742,199.4,345.0
django__django-13810,10,826.4,1058.6,1127.0,53.3,1057,205.2,345.0
django__django-16631,13,859.4,1145.0,1235.0,46.6,568,202.1,345.0
django__django-14500,5,989.2,1222.2,1365.0,41.0,472,221.8,344.0
django__django-16315,9,1158.2,1405.2,1474.0,35.2,511,204.2,344.0
django__django-15098,9,1548.9,1773.2,2022.0,36.3,813,192.4,344.0
django__django-14017,4,797.8,859.2,879.0,68.6,406,210.8,344.0
django__django-14349,14,765.9,953.8,1108.0,58.7,776,203.9,343.0
django__django-16667,10,855.2,1004.0,1058.0,58.6,896,194.2,343.0
django__django-11734,9,1441.6,1709.0,1825.0,37.1,514,189.4,343.0
django__django-13089,5,1046.2,1145.4,1149.0,47.0,652,215.3,343.0
django__django-7530,9,951.6,1172.4,1190.0,48.4,1108,210.5,342.0
django__django-15957,8,1210.9,1453.5,1492.0,30.3,588,199.1,342.0
django__django-15280,10,1190.8,1321.5,1434.0,35.9,729,187.9,342.0
django__django-11885,6,1742.3,2003.0,2211.0,30.2,808,194.2,342.0
django__django-14053,0,0.0,0.0,0.0,11.4,744,136.2,342.0
django__django-16938,8,918.9,1145.9,1162.0,42.3,867,199.9,342.0
django__django-11749,9,921.6,1095.8,1331.0,48.2,683,205.8,342.0
django__django-15127,13,704.2,898.2,969.0,54.7,660,216.3,341.0
django__django-14007,6,936.8,1097.0,1179.0,48.5,688,197.3,341.0
django__django-16662,13,779.8,931.6,1134.0,58.4,586,205.4,341.0
django__django-13658,12,680.1,828.3,987.0,63.1,553,210.1,341.0
